,DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
311642,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,5.0,0.0,0.45,-11.79133,-64.8692,24.5
311643,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,4.0,0.0,0.48,-11.78739,-64.84636,31.2
311644,2023-10-06 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,4.0,0.0,0.48,-11.78052,-64.85303,23.1
311645,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,2.0,0.69,-9.60178,-64.95968,3.8
311646,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,3.0,4.09,0.23,-9.53137,-64.69482,6.3
311647,2023-10-06 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,3.0,18.95,0.0,-8.79045,-62.83262,5.4
311648,2023-10-06 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,3.0,19.28,0.0,-8.78118,-62.8313,5.9
311649,2023-10-06 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,27.67,0.0,-8.70629,-62.58318,10.7
311650,2023-10-06 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,27.57,0.0,-8.70486,-62.5932,5.7
311651,2023-10-06 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,1.0,11.29,0.0,-8.65199,-63.2831,5.9
311652,2023-10-06 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,12.98,0.0,-8.10407,-62.79942,5.7
311653,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,6.0,0.0,0.22,-13.54136,-61.47746,13.4
311654,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,6.0,0.0,0.23,-13.52888,-61.48948,18.7
311655,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.66,-12.46508,-63.46077,5.4
311656,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.62,-12.46366,-63.47078,6.6
311657,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.68,-12.45432,-63.46943,11.2
311658,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,4.0,0.0,0.69,-12.44498,-63.46809,12.0
311659,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,4.0,0.0,0.37,-12.43385,-63.87689,12.0
311660,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,4.0,0.0,0.37,-12.43246,-63.88652,9.8
311661,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,3.0,0.0,0.52,-12.26251,-60.31529,11.9
311662,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,SERINGUEIRAS,Amazônia,3.0,0.0,0.14,-12.03044,-63.14142,9.5
311663,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,BURITIS,Amazônia,2.0,1.32,0.05,-9.91538,-64.08769,4.2
311664,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2.0,2.41,0.19,-9.80934,-64.24862,3.8
311665,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2.0,2.66,0.02,-9.79986,-64.24997,3.5
311666,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2.0,3.0,0.43,-9.76575,-64.17086,4.6
311667,2023-10-06 06:10:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2.0,3.24,0.45,-9.75679,-64.16956,11.6
